ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
118,GAS,1,TRUNK,65009,97009,5-08,8-12,8-10,09-14,
118,GAS,2,TRUNK,97009,65009,10-10,8-11,4-08,9-12,
118A,GAS,1,TRUNK,65199,96119,14-16,-,-,-,
118B,GAS,1,TRUNK,96111,65191,-,-,24-57,-,
119,GAS,1,TRUNK,65009,65009,16-08,18-12,17-12,15-17,Hougang St 21
12,GAS,1,TRUNK,77009,10499,9,09-14,9-10,11-13,
12,GAS,2,TRUNK,10499,77009,10,08-15,08-14,10-14,
12e,GAS,1,EXPRESS,77009,10499,20-30,30,20-30,20-30,
12e,GAS,2,EXPRESS,10499,77009,20-30,20-30,20-30,20-30,
136,GAS,1,TRUNK,54009,65009,09-13,10-13,10-15,15-19,
136,GAS,2,TRUNK,65009,54009,08-15,11-16,10-11,17-20,
15,GAS,1,TRUNK,77009,77009,4-09,04-13,07-15,13-16,Marine Parade Rd
15A,GAS,1,TRUNK,77009,83109,09-17,-,-,-,
17,GAS,1,TRUNK,77009,84009,8-11,10-12,10-11,11-15,
17,GAS,2,TRUNK,84009,77009,5-11,5-12,5-12,5-12,
17A,GAS,1,TRUNK,84009,84591,04-22,10-46,10-22,22-24,Bedok Nth Dr
2,GAS,1,TRUNK,99009,10499,10-10,09-16,09-18,14-18,
2,GAS,2,TRUNK,10499,99009,8-12,09-17,9-10,10-18,
2A,GAS,1,FEEDER,10499,85091,18-62,-,17-55,-,
3,GAS,1,TRUNK,75009,65009,7-11,09-14,8-09,12-14,
3,GAS,2,TRUNK,65009,75009,8-10,09-15,9-12,12-17,
34,GAS,1,TRUNK,65009,65009,4-09,04-15,09-13,11-14,PTB2 Basement
34A,GAS,1,TRUNK,65009,76059,18-44,26-39,00-00,00-00,PTB2 Basement
34B,GAS,1,TRUNK,75359,75351,109,-,106,-,
354,GAS,1,FEEDER,77009,77009,06-08,07-09,07-08,08-15,Jln Loyang Besar
358,GAS,1,TOWNLINK,77009,77009,05-07,07-08,05-07,05-13,Pasir Ris Dr 4
359,GAS,1,TOWNLINK,77009,77009,05-08,07-10,05-08,05-13,Pasir Ris St 11
36,GAS,1,TRUNK,95129,95129,08,08-11,08-10,08-12,Tomlinson Rd
36A,GAS,1,TRUNK,95129,09191,-,-,-,11-12,Tomlinson Rd
36B,GAS,1,TRUNK,93049,93199,08-08,09-283,09-09,-,Tomlinson Rd
381,GAS,1,FEEDER,65009,65009,10-12,10-12,10-12,10-15,Punggol East
382,GAS,1,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
